timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/08/20 14:55:58.124, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:55:58.127, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:55:58.129, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:55:59.130, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:55:59.130, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:55:59.130, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:00.131, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:00.131, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:00.131, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:01.132, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:01.132, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:01.132, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:02.132, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:02.133, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:02.133, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:03.133, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:03.137, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:03.137, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:04.137, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:04.138, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:04.138, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:05.138, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:05.139, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:05.139, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:06.139, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:06.140, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:06.140, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 14:56:07.140, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 14:56:07.141, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
