timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/08/20 15:00:55.578, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:00:55.581, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:00:55.583, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:00:56.584, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:00:56.585, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:00:56.585, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:00:57.585, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:00:57.586, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:00:57.586, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:00:58.586, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:00:58.586, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:00:58.587, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:00:59.587, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:00:59.587, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:00:59.587, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:00.587, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:00.588, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:00.588, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:01.588, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:01.589, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:01.589, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:02.589, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:02.589, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:02.589, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:03.590, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:03.590, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:03.590, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:04.591, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:04.591, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:04.591, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:05.591, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:05.592, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:05.592, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:06.592, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:06.593, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:06.593, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:07.593, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:07.593, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:07.593, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:08.593, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:08.594, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:08.594, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:09.594, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:09.595, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:09.595, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:10.595, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:10.596, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:10.596, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:11.596, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:11.597, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:11.597, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:12.597, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:12.597, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:12.598, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:13.598, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:01:13.598, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:13.598, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:14.599, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:01:14.599, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:14.599, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:15.600, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:01:15.600, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:15.600, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:16.600, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:01:16.601, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:16.601, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:17.601, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:01:17.602, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:17.602, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:18.602, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:01:18.603, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:18.603, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:19.603, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:01:19.603, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:19.604, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:20.604, 0, NVIDIA L40S, 20 MiB, 46068 MiB, 0 %
2026/08/20 15:01:20.664, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:20.664, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:21.664, 0, NVIDIA L40S, 17515 MiB, 46068 MiB, 16 %
2026/08/20 15:01:21.664, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:21.665, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:22.665, 0, NVIDIA L40S, 17519 MiB, 46068 MiB, 7 %
2026/08/20 15:01:22.665, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:22.666, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:23.666, 0, NVIDIA L40S, 17523 MiB, 46068 MiB, 16 %
2026/08/20 15:01:23.666, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:23.666, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:24.667, 0, NVIDIA L40S, 17527 MiB, 46068 MiB, 15 %
2026/08/20 15:01:24.667, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:24.667, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:25.667, 0, NVIDIA L40S, 17529 MiB, 46068 MiB, 14 %
2026/08/20 15:01:25.667, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:25.667, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:26.668, 0, NVIDIA L40S, 17599 MiB, 46068 MiB, 7 %
2026/08/20 15:01:26.668, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:26.668, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:27.668, 0, NVIDIA L40S, 17599 MiB, 46068 MiB, 0 %
2026/08/20 15:01:27.669, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:27.669, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:28.669, 0, NVIDIA L40S, 17599 MiB, 46068 MiB, 0 %
2026/08/20 15:01:28.670, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:28.670, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:29.670, 0, NVIDIA L40S, 18529 MiB, 46068 MiB, 1 %
2026/08/20 15:01:29.670, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:29.670, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:30.671, 0, NVIDIA L40S, 19987 MiB, 46068 MiB, 82 %
2026/08/20 15:01:30.671, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:30.671, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:01:31.673, 0, NVIDIA L40S, 19987 MiB, 46068 MiB, 83 %
