timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/08/20 15:05:32.492, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:32.496, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:32.498, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:33.500, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:33.500, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:33.500, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:34.501, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:34.501, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:34.501, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:35.501, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:35.502, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:35.502, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:36.502, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:36.503, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:36.503, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:37.503, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:37.504, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:37.504, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:38.504, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:38.504, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:38.505, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:39.505, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:39.505, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:39.505, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:40.506, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:40.506, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:40.506, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:41.507, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:41.507, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:41.508, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:42.508, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:42.508, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:42.509, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:43.509, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:43.509, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:43.510, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:44.510, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:44.511, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:44.511, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:45.511, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:45.512, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:45.512, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:46.512, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:46.512, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:46.513, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:47.513, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:47.513, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:47.513, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:48.514, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:48.514, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:48.514, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:49.515, 0, NVIDIA L40S, 0 MiB, 46068 MiB, 0 %
2026/08/20 15:05:49.515, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:49.515, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:50.515, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:05:50.516, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:50.516, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:51.516, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:05:51.516, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:51.516, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:52.517, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:05:52.517, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:52.517, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:53.517, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:05:53.518, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:53.518, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:54.518, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:05:54.519, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:54.519, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:55.519, 0, NVIDIA L40S, 3 MiB, 46068 MiB, 0 %
2026/08/20 15:05:55.519, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:55.519, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:56.519, 0, NVIDIA L40S, 17515 MiB, 46068 MiB, 13 %
2026/08/20 15:05:56.520, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:56.520, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:57.520, 0, NVIDIA L40S, 17517 MiB, 46068 MiB, 15 %
2026/08/20 15:05:57.520, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:57.520, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:58.521, 0, NVIDIA L40S, 17521 MiB, 46068 MiB, 12 %
2026/08/20 15:05:58.521, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:58.521, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:59.522, 0, NVIDIA L40S, 17525 MiB, 46068 MiB, 16 %
2026/08/20 15:05:59.522, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:05:59.522, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:00.522, 0, NVIDIA L40S, 17529 MiB, 46068 MiB, 17 %
2026/08/20 15:06:00.522, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:00.523, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
